classification;category;sub_category;product_name;product_format;product_price;product_unit
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva 0,4º Hacendado; Botella 1 L;7,25 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva virgen extra Hacendado; Garrafa 3 L;27,60 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva virgen extra Hacendado; Botella 1 L;9,25 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva virgen extra Hacendado Gran Selección; Botella 750 ml;7,60 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva 1º Hacendado; Garrafa 5 L;36,95 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva 1º Hacendado; Botella 1 L;7,55 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva virgen Hacendado; Garrafa 3 L;24,60 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva virgen Hacendado; Botella 1 L;8,25 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva suave Hacendado; Garrafa 3 L;21,60 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de oliva;Aceite de oliva virgen extra Hacendado; Spray 200 ml;3,10 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de girasol, semillas y maíz;Aceite de girasol refinado 0,2º Hacendado; Garrafa 5 L;7,20 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de girasol, semillas y maíz;Aceite de girasol refinado 0,2º Hacendado; Botella 1 L;1,55 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Aceite de girasol, semillas y maíz;Aceite de coco virgen Hacendado; Bote 450 ml;4,40 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Vinagre de vino blanco Hacendado; Botella 1 L;0,65 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Vinagre balsámico de Módena Hacendado; Botella 250 ml;1,20 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Vinagre de manzana Hacendado; Botella 1 L;0,80 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Limón exprimido Hacendado; Botella 280 ml;1,00 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Crema de vinagre balsámico de Módena Hacendado; Botella 250 g;1,65 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Vinagre de Jerez reserva Hacendado; Botella 250 ml;1,80 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Bebida aromatizada a base de vino para cocinar Abuela Carola; Botella 750 ml;2,25 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Vinagre de vino tinto Hacendado; Botella 1 L;0,95 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Reducción de vinagre Pedro Ximénez Hacendado; Botella 300 g;2,25 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Aceite de oliva, vinagre y sal Merry; 15 monodosis x 10 ml;2,20 €;/pack
Aceite, especias y salsas;Aceite, vinagre y sal;Vinagre y otros aderezos;Aliño viandox Knorr; Botella 160 ml;3,05 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal fina Hacendado; Paquete 1 kg;0,30 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal fina de mesa Hacendado; Bote 250 g;0,60 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal yodada fina Hacendado; Paquete 1 kg;0,35 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal gruesa Hacendado; Paquete 1 kg;0,35 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Bicarbonato sódico Hacendado; Paquete 1 kg;1,50 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Bicarbonato sódico Hacendado; Bote 300 g;1,10 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal marina en escamas Polasal; Bote 125 g;2,00 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal gruesa para hornear Hacendado; Paquete 2 kg;0,95 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal de ajo Hacendado; Bote 130 g;1,80 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal de frutas sabor limón Hacendado; Bote 250 g;2,10 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal 60% menos de sodio Hacendado; Bote 250 g;2,30 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Preparado para salmón ahumado Hacendado; Bote 750 g;3,30 €;/ud.
Aceite, especias y salsas;Aceite, vinagre y sal;Sal y bicarbonato;Sal rosa del Himalaya Hacendado; Bote 250 g;1,80 €;/ud.
Aceite, especias y salsas;Especias;Hierbas;Orégano Hacendado; Bote 25 g;0,95 €;/ud.
Aceite, especias y salsas;Especias;Hierbas;Perejil Hacendado; Bote 18 g;0,95 €;/ud.
Aceite, especias y salsas;Especias;Hierbas;Hoja de laurel Hacendado; Paquete 12 g;0,80 €;/ud.
Aceite, especias y salsas;Especias;Hierbas;Hierbas provenzales Hacendado; Bote 25 g;1,20 €;/ud.
Aceite, especias y salsas;Especias;Hierbas;Albahaca Hacendado; Bote 20 g;1,25 €;/ud.
Aceite, especias y salsas;Especias;Hierbas;Romero Hacendado; Bote 40 g;1,35 €;/ud.
Aceite, especias y salsas;Especias;Hierbas;Tomillo Hacendado; Bote 24 g;1,05 €;/ud.
Aceite, especias y salsas;Especias;Hierbas;Eneldo hojas Hacendado; Bote 22 g;1,85 €;/ud.
Aceite, especias y salsas;Especias;Hierbas;Cilantro Hacendado; Bote 12 g;1,85 €;/ud.
Aceite, especias y salsas;Especias;Hierbas;Ajo y Perejil Hacendado; Bote 74 g;1,30 €;/ud.
Aceite, especias y salsas;Especias;Colorante y pimentón;Colorante alimentario Hacendado; Bote 85 g;0,90 €;/ud.
Aceite, especias y salsas;Especias;Colorante y pimentón;Pimentón dulce Hacendado; Bote 56 g;0,95 €;/ud.
Aceite, especias y salsas;Especias;Colorante y pimentón;Pimentón dulce Hacendado; Bote 75 g;1,40 €;/ud.
Aceite, especias y salsas;Especias;Colorante y pimentón;Pimentón dulce de la Vera Hacendado; Bote 75 g;1,55 €;/ud.
Aceite, especias y salsas;Especias;Colorante y pimentón;Azafrán molido Hacendado; Paquete 4 sobres (0,4 g);1,75 €;/ud.
Aceite, especias y salsas;Especias;Colorante y pimentón;Azafrán hebra Hacendado; Paquete 3 usos (0,38 g);1,70 €;/ud.
Aceite, especias y salsas;Especias;Colorante y pimentón;Pimentón picante Hacendado; Bote 60 g;1,35 €;/ud.
Aceite, especias y salsas;Especias;Pimienta;Pimienta negra molida Hacendado; Bote 70 g;1,05 €;/ud.
Aceite, especias y salsas;Especias;Pimienta;Molinillo pimienta negra Hacendado; Bote 65 g;1,65 €;/ud.
Aceite, especias y salsas;Especias;Pimienta;Pimienta negra en grano Hacendado; Bote 70 g;1,45 €;/ud.
Aceite, especias y salsas;Especias;Pimienta;Molinillo mix pimientas Hacendado; Bote 50 g;1,85 €;/ud.
Aceite, especias y salsas;Especias;Pimienta;Pimienta blanca molida Hacendado; Bote 70 g;2,15 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Ajo granulado Hacendado; Bote 115 g;1,15 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Cebolla frita crujiente Hacendado; Bote 150 g;1,15 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Canela molida Hacendado; Bote 52 g;0,95 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Canela en rama Hacendado; Bote 18 g;1,35 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Comino molido Hacendado; Bote 58 g;1,00 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Comino en grano Hacendado; Bote 56 g;1,95 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Curry Hacendado; Bote 57 g;1,15 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Nuez moscada molida Hacendado; Bote 58 g;1,65 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Cebolla en polvo Hacendado; Bote 60 g;0,96 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Cayena guindillas Hacendado; Bote 27 g;1,30 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Cayena molida Hacendado; Bote 55 g;1,59 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Cúrcuma Hacendado; Bote 60 g;1,25 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Jengibre molido Hacendado; Bote 49 g;1,60 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Sal de ajo Hacendado; Bote 130 g;1,80 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Ñoras Hacendado; Paquete 25 g;1,40 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Clavo en grano Hacendado; Bote 42 g;1,75 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Anís en grano Hacendado; Bote 50 g;1,90 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Piñones Hacendado; Bote 70 g;2,84 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Piñones Hacendado; Bote 150 g;5,70 €;/ud.
Aceite, especias y salsas;Especias;Otras especias;Picada catalana Hacendado; Bote 25 g;1,95 €;/ud.
Aceite, especias y salsas;Especias;Sazonadores;Sazonador para fajitas Hacendado sabor tex-mex; Sobre 17 g;0,85 €;/ud.
Aceite, especias y salsas;Especias;Sazonadores;Sazonador ajo y limón Hacendado para carne y pescado; Sobre 30 g;1,05 €;/ud.
Aceite, especias y salsas;Especias;Sazonadores;Sazonador hierbas provenzales Hacendado para pollo y costillas; Sobre 24 g;1,00 €;/ud.
Aceite, especias y salsas;Especias;Sazonadores;Sazonador sabor barbacoa Hacendado para carne; Sobre 57 g;1,35 €;/ud.
Aceite, especias y salsas;Especias;Sazonadores;Sazonador para paella con azafrán Hacendado; Caja 5 sobres (20 g);1,40 €;/ud.
Aceite, especias y salsas;Especias;Sazonadores;Sazonador para burritos Hacendado; Sobre 40 g;1,10 €;/ud.
Aceite, especias y salsas;Especias;Sazonadores;Sazonador pollo y carne Hacendado; Bote 76 g;1,50 €;/ud.
Aceite, especias y salsas;Especias;Sazonadores;Sazonador pasta Hacendado; Bote 45 g;2,50 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mayonesa;Mayonesa Hacendado; Tarro 500 ml;1,25 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mayonesa;Mayonesa Hacendado; Tarro 240 ml;1,00 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mayonesa;Mayonesa Hacendado; Bote 460 ml;1,35 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mayonesa;Mayonesa en sobres individuales; 12 sobres x 20 ml;1,25 €;/pack
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mayonesa;Mayonesa Hellmann's; Tarro 450 ml;3,25 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mayonesa;Mayonesa Hellmann's; Tarro 225 ml;1,95 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mayonesa;Salsa ligera Ligeresa; Tarro 425 ml;2,65 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mayonesa;Salsa ligera Ligeresa; Tarro 210 ml;1,35 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mayonesa;Salsa ligera Ligeresa; Bote 430 ml;2,65 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mayonesa;Mayonesa Ybarra; Bote 500 ml;2,25 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mayonesa;Salsa fina Kraft; Tarro 425 ml;2,00 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mayonesa;Salsa ligera Hacendado; Tarro 500 ml;1,30 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mayonesa;Salsa ligera Hacendado; Bote 460 ml;1,35 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Ketchup;Ketchup Hacendado; Bote 600 g;1,30 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Ketchup;Ketchup Hacendado en sobres individuales; Paquete 12 sobres (240 g);1,40 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Ketchup;Ketchup Heinz; Bote 650 g;3,50 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Ketchup;Ketchup zero azúcares añadidos Hacendado; Bote 600 g;1,60 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mostaza;Mostaza a la antigua Hacendado; Tarro 200 g;1,50 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mostaza;Mostaza de Dijon Hacendado; Tarro 200 g;1,25 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mostaza;Mostaza clásica Hacendado; Bote 388 g;1,35 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Mostaza;Mostaza dulce Hacendado; Bote 250 ml;1,35 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Allioli;Allioli Chovi; Tarrina 180 ml;1,35 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Allioli;Allioli Hacendado; Tarrina 200 ml;1,10 €;/ud.
Aceite, especias y salsas;Mayonesa, ketchup y mostaza;Allioli;Allioli en sobres individuales Hacendado; Paquete 8 sobres (160 ml);1,50 €;/ud.
Aceite, especias y salsas;Otras salsas;Tomate frito;Tomate frito Hacendado; 3 bricks x 400 g;1,40 €;/pack
Aceite, especias y salsas;Otras salsas;Tomate frito;Tomate frito Hacendado; 3 mini bricks x 210 g;1,10 €;/pack
Aceite, especias y salsas;Otras salsas;Tomate frito;Tomate frito Hacendado; Tarro 560 g;0,95 €;/ud.
Aceite, especias y salsas;Otras salsas;Tomate frito;Tomate frito receta artesana Hacendado; Tarro 560 g;2,10 €;/ud.
Aceite, especias y salsas;Otras salsas;Tomate frito;Tomate frito receta artesana Hacendado; Tarro 300 g;1,50 €;/ud.
Aceite, especias y salsas;Otras salsas;Tomate frito;Tomate frito estilo casero Hacendado; Brick 380 g;1,20 €;/ud.
Aceite, especias y salsas;Otras salsas;Tomate frito;Tomate frito Hacendado con aceite de oliva; 3 mini bricks x 210 g;1,30 €;/pack
Aceite, especias y salsas;Otras salsas;Tomate frito;Tomate frito sin azúcares añadidos Hacendado; Tarro 560 g;1,20 €;/ud.
Aceite, especias y salsas;Otras salsas;Tomate frito;Tomate frito con cebolla Hacendado; Brick 380 g;1,35 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para carnes;Salsa barbacoa Hacendado; Bote 350 g;1,15 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para carnes;Salsa pimienta verde Hacendado; Sobre 50 g;1,25 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para carnes;Salsa burger Hacendado; Bote 250 ml;1,35 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para carnes;Salsa estilo argentino Hacendado; Bote 300 g;1,60 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para carnes;Salsa Piri Piri Hacendado; Botella 195 ml;1,00 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para carnes;Salsa Satay Hacendado; Paquete 180 g;2,00 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para pasta;Salsa pesto con albahaca Hacendado; Tarro 190 g;2,10 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para pasta;Salsa de tomate boloñesa Hacendado; Tarro 290 g;1,65 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para pasta;Salsa de tomate Basilico con albahaca Hacendado; Tarro 290 g;1,50 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para pasta;Salsa fresca Trufa Hacendado; Paquete 140 g;1,45 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para pasta;Salsa fresca Queso Hacendado; Paquete 180 g;1,45 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para pasta;Salsa fresca Pesto con albahaca Hacendado; Tarrina 150 g;2,10 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para pasta;Salsa fresca Setas Bendita; Paquete 180 g;1,55 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas para pasta;Salsa fresca Carbonara Hacendado; Paquete 200 g;1,55 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas orientales;Salsa de soja Hacendado; Botella 250 ml;1,45 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas orientales;Salsa teriyaki Hacendado; Botella 250 ml;1,65 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas orientales;Salsa agridulce Salsas Asturianas; Bote 340 g;1,70 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas orientales;Salsa thai chili dulce J-Lek; Botella 250 ml;1,55 €;/ud.
Aceite, especias y salsas;Otras salsas;Salsas orientales;Salsa de soja sin gluten Hacendado; Botella 250 ml;2,50 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Guacamole Hacendado; Tarrina 500 g;3,59 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Guacamole Hacendado; Tarrina 200 g;1,75 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa yogur Hacendado; Bote 310 ml;1,25 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa mexicana Hacendado; Tarro 300 g;1,25 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa Ranch Hacendado; Bote 250 ml;1,35 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa césar Hacendado; Bote 310 ml;1,40 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Aliño de aceite, ajo y perejil Hacendado; Tarrina 150 ml;1,50 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa miel y mostaza Hacendado; Bote 340 g;1,50 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa de trufas; Bote 80 g;3,10 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa gajos rústica Hacendado; Bote 250 ml;1,35 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa de queso Hacendado; Tarro 280 ml;1,75 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Chili con carne Hacendado; Bote 420 g;2,65 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa bechamel Knorr; Brick 500 ml;2,25 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Extracto original de buey Bovril; Tarro 125 g;3,00 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa cocktail Hacendado; Bote 460 ml;1,50 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa romesco Ferrer; Tarro 130 g;1,80 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa picante Mc. Ilhenny Tabasco; Botella 57 ml;3,75 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Pasta de sésamo Tahini Hacendado; Tarro 200 g;2,90 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa brava Hacendado; Bote 310 g;1,80 €;/ud.
Aceite, especias y salsas;Otras salsas;Otras salsas;Salsa tártara Hacendado; Bote 310 g;1,50 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Font Agudes; Garrafa 8 L;0,86 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Font Agudes; Garrafa 6 L;0,75 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Font Agudes; 6 botellas x 1,5 L;1,32 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Font Agudes; Botella 1,5 L;0,22 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral mediana Font Agudes; 6 botellas x 1 L;2,40 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral mediana Font Agudes; Botella 1 L;0,40 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral pequeña Font Agudes; 6 botellas x 500 ml;1,20 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral pequeña Font Agudes; Botella 500 ml;0,20 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral pequeña Font Agudes tapón infantil; 6 botellas x 330 ml;1,32 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral pequeña Font Agudes tapón infantil; Botella 330 ml;0,22 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Bronchales; Garrafa 6 L;1,23 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Bronchales; 6 botellas x 1,5 L;2,22 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Bronchales; Botella 1,5 L;0,37 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral mediana Bronchales; 6 botellas x 1 L;3,00 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral mediana Bronchales; Botella 1 L;0,50 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral pequeña Bronchales; 6 botellas x 500 ml;1,50 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral pequeña Bronchales; Botella 500 ml;0,25 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral pequeña Bronchales tapón infantil; 6 botellas x 330 ml;2,16 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral pequeña Bronchales tapón infantil; Botella 330 ml;0,36 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Bezoya; 6 botellas x 1,5 L;4,38 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Bezoya; Botella 1,5 L;0,73 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Ribes; Garrafa 8 L;1,99 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Ribes; 6 botellas x 1,5 L;3,30 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Ribes; Botella 1,5 L;0,55 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Nestlé Aquarel; 6 botellas x 1,5 L;3,54 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Nestlé Aquarel; Botella 1,5 L;0,59 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Font Vella; 6 botellas x 1,5 L;4,20 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Font Vella; Botella 1,5 L;0,73 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Solán de Cabras; 6 botellas x 1,5 L;5,22 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Solán de Cabras; Botella 1,5 L;0,87 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Viladrau; 6 botellas x 1,5 L;3,78 €;/pack
Agua y refrescos;Agua;Agua sin gas;Agua mineral grande Viladrau; Botella 1,5 L;0,63 €;/ud.
Agua y refrescos;Agua;Agua sin gas;Agua de coco Chaokoh 100% natural; Brick 1 L;2,60 €;/ud.
Agua y refrescos;Agua;Agua con gas;Agua mineral con gas grande Vichy Catalan; Botella 1 L;1,49 €;/ud.
Agua y refrescos;Agua;Agua con gas;Agua mineral con gas pequeña Vichy Catalan; 6 botellas x 300 ml;5,89 €;/pack
Agua y refrescos;Agua;Agua con gas;Agua mineral con gas grande Cortes; 6 botellas x 1,5 L;2,28 €;/pack
Agua y refrescos;Agua;Agua con gas;Agua mineral con gas grande Cortes; Botella 1,5 L;0,38 €;/ud.
Agua y refrescos;Agua;Agua con gas;Agua mineral con gas pequeña Cortes; 6 botellas x 500 ml;1,50 €;/pack
Agua y refrescos;Agua;Agua con gas;Agua mineral con gas pequeña Cortes; Botella 500 ml;0,25 €;/ud.
Agua y refrescos;Agua;Agua con gas;Agua mineral con gas grande San Narciso; Botella 1 L;1,29 €;/ud.
Agua y refrescos;Agua;Agua con gas;Agua mineral con gas grande San Pellegrino; 6 botellas x 1 L;8,10 €;/pack
Agua y refrescos;Agua;Agua con gas;Agua mineral con gas grande San Pellegrino; Botella 1 L;1,35 €;/ud.
Agua y refrescos;Agua;Agua con gas;Agua de soda con sifón La Casa; Botella 1,5 L;1,60 €;/ud.
Agua y refrescos;Agua;Agua con gas;Agua mineral con gas grande Fonter; 6 botellas x 1 L;6,84 €;/pack
Agua y refrescos;Agua;Agua con gas;Agua mineral con gas grande Fonter; Botella 1 L;1,14 €;/ud.
Agua y refrescos;Agua;Gaseosa;Gaseosa Hacendado grande; Botella 1,5 L;0,50 €;/ud.
Agua y refrescos;Agua;Gaseosa;Gaseosa Hacendado pequeña; 6 botellas x 500 ml;1,92 €;/pack
Agua y refrescos;Agua;Gaseosa;Gaseosa Hacendado pequeña; Botella 500 ml;0,32 €;/ud.
Agua y refrescos;Agua;Gaseosa;Gaseosa La Casera grande; 2 botellas x 1,5 L;1,96 €;/pack
Agua y refrescos;Agua;Gaseosa;Gaseosa La Casera grande; Botella 1,5 L;1,00 €;/ud.
Agua y refrescos;Isotónico y energético;Isotónico;Bebida isotónica limón Aquarius; Botella 1,5 L;1,95 €;/ud.
Agua y refrescos;Isotónico y energético;Isotónico;Bebida isotónica limón Aquarius; 8 latas x 330 ml;6,48 €;/pack
Agua y refrescos;Isotónico y energético;Isotónico;Bebida isotónica limón Aquarius; Lata 330 ml;0,85 €;/ud.
Agua y refrescos;Isotónico y energético;Isotónico;Bebida isotónica sabor cítrico Iso drink; Botella 1,5 L;1,00 €;/ud.
Agua y refrescos;Isotónico y energético;Isotónico;Bebida isotónica sabor cítrico Iso drink; 6 latas x 330 ml;2,40 €;/pack
Agua y refrescos;Isotónico y energético;Isotónico;Bebida isotónica sabor cítrico Iso drink; Lata 330 ml;0,40 €;/ud.
Agua y refrescos;Isotónico y energético;Isotónico;Bebida isotónica naranja Aquarius; Botella 1,5 L;1,95 €;/ud.
Agua y refrescos;Isotónico y energético;Isotónico;Bebida isotónica naranja Aquarius; 8 latas x 330 ml;6,48 €;/pack
Agua y refrescos;Isotónico y energético;Isotónico;Bebida isotónica naranja Aquarius; Lata 330 ml;0,85 €;/ud.
Agua y refrescos;Isotónico y energético;Isotónico;Bebida isotónica limón Aquarius zero azúcar; Botella 1,5 L;1,95 €;/ud.
Agua y refrescos;Isotónico y energético;Isotónico;Bebida isotónica de naranja Iso drink; Botella 1,5 L;1,00 €;/ud.
Agua y refrescos;Isotónico y energético;Isotónico;Bebida isotónica de naranja Iso drink; 6 latas x 330 ml;2,40 €;/pack
